province,year,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
广东省,2021,127577.4,8.299999999999997,4985.1,49977.2,72615.1,3.9075102643571666,39.17402298526228,56.91846675038056,42641.8,44993.0,31589.0,100.8,3.7612838515546634,9.3,14105.04
广西壮族自治区,2021,25311.5,7.900000000000006,4051.8,8523.3,12736.5,16.00774351579322,33.67362661240937,50.3190249491338,8168.3,26727.0,18088.0,100.9,5.242494226327945,3.7,1800.15
海南省,2021,6508.9,11.400000000000006,1254.5,1233.1,4021.2,19.273609980180982,18.944829387454103,61.78002427445498,2587.2,30457.0,22242.0,100.3,8.15831987075929,10.7,921.16
重庆市,2021,28092.5,8.400000000000006,1922.3,10679.5,15490.7,6.842751624098958,38.01548455993593,55.14176381596512,14257.0,33803.0,24598.0,100.3,5.0132625994694955,6.0,2285.45
四川省,2021,55131.3,8.299999999999997,5662.8,20016.5,29452.0,10.271479177889873,36.30696174405465,53.42155907805548,24317.4,29080.0,21518.0,100.3,7.079646017699116,2.9,4773.15
贵州省,2021,19921.3,8.299999999999997,2730.5,6351.8,10839.1,13.706434821020716,31.884465371235816,54.40960178301617,8839.5,23996.0,17957.0,100.1,8.679142934635205,-3.8,1969.39
云南省,2021,27895.3,7.400000000000006,3832.3,9535.2,14527.8,13.73815660702699,34.18210236132969,52.07974103164332,11063.5,25666.0,18851.0,100.2,7.729966503478485,-9.5,2278.29
西藏自治区,2021,2145.1,7.0,164.1,748.4,1232.5,7.649993007319006,34.8888163721971,57.45652883315463,856.6,24950.0,15343.0,100.9,3.88768898488121,8.6,215.62
陕西省,2021,30476.6,6.700000000000003,2409.5,12963.3,15103.7,7.906065637243,42.53525655749001,49.55834968467612,10076.9,28568.0,19347.0,101.5,5.4993051419495735,-4.9,2775.42
甘肃省,2021,10608.0,7.099999999999994,1364.8,3531.6,5711.6,12.8657616892911,33.29185520361991,53.842383107089,3837.7,22066.0,17456.0,100.9,4.77405247813411,8.5,1001.86
青海省,2021,3446.3,5.900000000000006,357.1,1389.7,1699.5,10.36183733279169,40.32440588457186,49.313756782636446,976.0,25919.0,19020.0,101.3,4.005722460658083,-7.4,328.76
宁夏回族自治区,2021,4666.5,6.900000000000006,364.6,2036.6,2265.3,7.813136183435124,43.642987249544625,48.543876567020256,1334.6,27904.0,20024.0,101.4,9.00900900900901,2.7,460.01
新疆维吾尔自治区,2021,16791.5,7.400000000000006,2358.7,6281.3,8151.5,14.046988059434831,37.4076169490516,48.54539499151356,3610.0,26075.0,18961.0,101.2,2.6718703092164517,11.3,1618.61
